Row #,Name,Street,City,State,Zip,Phone,Website,Latitude,Longitude,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End,Last Update,Menu,Item1,Item2,Item3,Item4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Duke's Waikiki,2335 Kalakaua Ave Ste 116,Honolulu,HI,96815,(808) 922-2268,https://www.dukeswaikiki.com/,21.27692,-157.8277,,,,,,,,,,,,,,,7/19/2022,https://www.dukeswaikiki.com/menus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Moani Waikiki,2330 Kalakaua Ave Ste 312,Honolulu,HI,96815,(808) 466-2629,https://www.moaniwaikiki.com,21.27823,-157.82657,5:00 PM,6:30 PM,5:00 PM,6:30 PM,5:00 PM,6:30 PM,5:00 PM,6:30 PM,5:00 PM,6:30 PM,,,,,1/26/2022,,$10 Pupus,$8 Wine,$5 Drafts,$5 Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Basalt,2255 Kuhio Ave,Honolulu,HI,96815,(808) 923-5689,https://www.basaltwaikiki.com,21.27992,-157.82699,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,3:00 PM,5:00 PM,2/26/2022,https://www.basaltwaikiki.com/wp-content/uploads/happy-hour-menu-02-07-22.pdf,$5 Well Drinks,$3-6 Beers,$5 Wine,$10 Beef Fires,$16 Adobo Chicken Wings,$13 Duck Empanadas,$6 Baja Fish Taco ,$8 Bar Burger,$5 French Fires ,$6 Garlic Fries,$6 Togarashi Fries ,$7 Waffle Fries ,$7 Onion Rings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Hideout at The Laylow,2299 Kuhio Ave Fl 2,Honolulu,HI,96815,(808) 628-3060,http://www.hideoutwaikiki.com,21.27922,-157.82653,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,2/26/2022,https://www.hideoutwaikiki.com/menu/,"$12 Laylow ""Hawaiian Style"" Mai Tai ",$9 Spirits,$9 Beer,$8 Wine,$15 Mainlander Burger ,$10 Kalua Egg Rolls ,$10 Crispy Pork Belly ,MP - Wonton Poke Tacos,$10 Island Greens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sky Waikiki Raw & Bar,2270 Kalakaua Ave,Honolulu,HI,96815,(808) 979-7590,http://skywaikiki.com,21.27884,-157.82805,4:00 PM,5:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,4:00 PM,5:00 PM,2/13/2022,http://www.skywaikiki.com/menu/,$4 Beers,$9 Icy Mai Tai,$9 Coconut Girl,$8 Frozen Bellini,$9/$35 Benaccetto Prosecco,$8/$30 House White Wine,$8/$30 House Red Wine,$8 Sangria,$2 Fresh Oyster,$9 Hawaiian Ahi Poke,$9 Spicy Ahi Poke ,$6 Shiso French Fires,$6 Truffle Honey Mascarpone,$7 Chicken Liver Pate,$9 Sweet Soy Pepper Wings,$10 Spicy Ahi Roll,$10 Spciy Scallop Roll,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yard House,226 Lewers St,Honolulu,HI,96815,(808) 923-9273,https://www.yardhouse.com,21.27911901,-157.8315251,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,2:00 PM,5:30 PM,,,,,2/26/2022,https://www.yardhouse.com/happy-hour/hi/honolulu-restaurant/8316,"$2 Off Draft Beer, Wine, Spirits & Cocktails",$3 Off 9 oz Wine,$4 Off Half Yards,1/2 Off Select Apps & All Pizzas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Yard House,226 Lewers St,Honolulu,HI,96815,(808) 923-9273,https://www.yardhouse.com,21.27911901,-157.8315251,10:30 PM,11:59 PM,10:30 PM,11:59 PM,10:30 PM,11:59 PM,,,,,,,10:30 PM,11:59 PM,2/26/2022,https://www.yardhouse.com/happy-hour/hi/honolulu-restaurant/8316,"$2 Off Draft Beer, Wine, Spirits & Cocktails",$3 Off 9 oz Wine,$4 Off Half Yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Shorefyre,2446 Koa Ave,Honolulu,HI,96815,(808) 923-7007,http://www.shorefyre.com,21.27576,-157.82418,4:00 PM,6:00 PM,8:00 AM,11:59 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,2/27/2022,https://www.shorefyre.com/menu/,$7 Maui Brewing Big Swell IPA,$4 PBR,$4 Modelo Especial,$6 Kona Big Wave Golden Ale,$7 House Wine & Sparkling,$9 Coconut Mojito,$9 Hawaiian Mai Tai,$7 Spirits,$10.50 Mauna Kea Nachos,$30 Make It A Sampler - Pick Any 4 (Excluding Nachos),$10 Hawaiian 'Pipikaula' Style Beef Jerky,$7.50 Grilled Baby Romaine,$9.50 Fresh Ahi Tuna Tataki,$9.50 Coconut Shrimp (5),$9.50 Hibachi Steak,$7.50 Hibachi Chicken ,$7.50 Fried Brussel Sprouts,$7.50 Loaded Cheese Fries,$10.50 Tropical Shrimp Ceviche,,,,,,,,,,,,,,,,,,,,,,,,,
9,Workplay,814 Ilaniwai St Fl 1 ,Honolulu,HI,96813,(808) 457-1322,https://workplayhi.com,21.29916,-157.85597,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,6/22/2022,https://workplayhi.com/in-house-menu,$18 Modelo & Coors Pitcher,$10 Classic Cocktails,$7 Glass Pour Wines,$15 Ceviche,$4 Queso,$9 Tacos (choose 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,The Surfing Pig Hawaii,3605 Waialae Ave,Honolulu,HI,96816,(808) 744-1992,https://thesurfingpighawaii.com/,21.28265,-157.79867,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,4:00 PM,6:00 PM,,,,,3/8/2022,https://thesurfingpighawaii.com/#dinner-menu,$11 Cocktails,$11 Wine,$15 Street Tacos,$14 Brisket Tacos,$10 Truffle Fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
